CTA CTE NRO;RAZON SOCIAL;CC NRO;CENTRO DE COSTO;AUTORIZADO NRO;AUTORIZADO;DNI;Telefono;CODIGO DE EMPRESA CORPORATIVA;;;;
1000;AGEA S.A.;600;Producción;105;Alejandra Pachecho;27.345.889;;5a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;600;Producción;106;Ramiro Cernadas;30.112.556;;6a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;600;Producción;107;Julieta Montalvo;29.443.210;;7a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;601;Vestuario;201;Luciano Ferreyra;32.118.774;;8a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;601;Vestuario;203;María Sol Ledesma;28.774.552;;9a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;602;Arte & Escenografía;905;Carolina Bértoli;29.776.543;;10a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;602;Arte & Escenografía;906;Gonzalo Ibarra;31.665.904;;11a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;602;Arte & Escenografía;913;Florencia Rivas;30.998.333;;12a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;603;Postproducción;501;Matías Gadea;30.998.221;;13a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;603;Postproducción;509;Lucía Arregui;28.551.992;;14a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;604;Coordinación Técnica;103;Verónica Salvatierra;28.445.667;;15a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;604;Coordinación Técnica;101;Nicolás Pujol;31.220.118;;16a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;605;Iluminación;852;Federico Aramburu;31.556.902;;17a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;605;Iluminación;861;Santiago Corvalán;30.889.771;;18a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;606;Sonido;981;Natalia Quiroga;27.889.334;;19a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1000;AGEA S.A.;606;Sonido;982;Agustín Figueroa;29.110.667;;20a5aad36-420e-4f71-8a8e-2d4f2381f2bf;;;;
1;Remis On Time S.A;1;Central;1;Anahi;;5491158948869;988fcbd7-e780-4032-abbc-c1a4f30518b4;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;Remis On Time S.A. ;988fcbd7-e780-4032-abbc-c1a4f30518b4
;;;;;;;;;;;AGEA;5a5aad36-420e-4f71-8a8e-2d4f2381f2bf
